"";"ph2m";"pl2m";"m2p";"e2p";"PC";"P(H)";"P(L)";"PCI";"PI";"HT";"HT(inf)";"HT(ch)";"HT(ad)";"EN";"HT(tot)";"DEV"
"25";0,000193418718175963;2,86777317523956e-06;7,14157543843612e-05;8,92835215199739e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"26";0,000465514712384902;6,25607103575021e-06;1,53172999853268e-05;0,000438759767101146;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"27";0,000266848645638674;0,000104567595641129;2,65121745178476e-05;0,000331625739927404;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"28";3,25539620826021e-05;0,000137066952767782;0,000202455054153688;8,40468562673777e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"29";0,000186773213674314;1,06267941882834e-05;0,00013154772517737;0,000224170335801318;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"30";0,000218112219474278;7,37919481471181e-05;2,50709382817149e-05;0,000331011777394451;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"31";0,000415002464083955;0,000145870592677966;5,29741330537945e-05;0,000120157494675368;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"32";6,91752079874277e-05;7,01354284537956e-05;6,14530560560524e-05;1,92337878979743e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"33";0,000351064354763366;0,000109067200683057;4,23979051411152e-05;0,000246096673887223;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"34";4,58466892596334e-05;0,000266063035000116;2,82997186295688e-05;0,00010576307005249;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"35";0,000389727269182913;0,000269616989302449;2,18216506764293e-05;2,50783851370215e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"36";0,000306658484390937;4,67821318889037e-05;0,000101833990192972;0,000123869737610221;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"37";0,000105973572353832;0,000255473124561831;0,000219425704912283;2,08548689261079e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"38";0,000198153865523636;0,000247119506821036;1,34850724134594e-05;0,000118566983263008;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"39";2,15809998335317e-05;8,09743158752099e-05;0,000262400781619363;0,000251814575400203;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"40";6,49289595894516e-05;0,000121840330655687;3,2470619189553e-05;5,24220559746027e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"41";7,52213592641056e-05;0,000195463189622387;0,000450304900412448;6,99854724807665e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"42";3,19174628239125e-05;0,00015239856869448;0,000464641214581206;0,000115535577060655;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"43";0,000237358896411024;0,000183507032692432;0,000104787748772651;8,02745305700228e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"44";0,00041143713821657;0,000386874059098773;6,65887973736972e-05;3,84887100663036e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"45";1,18176903342828e-05;0,000107926618424244;0,000423601789283566;0,000192033681785688;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"46";1,82928376598284e-05;0,000189445758587681;8,7807570816949e-05;9,04127913527191e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"47";0,000118366802111268;0,00011494315136224;0,000175504974555224;8,66987312911078e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"48";0,000112672263756394;0,000471191966440529;0,000284677925985306;7,75120209436864e-06;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"49";0,000417363517917693;3,83345003938302e-05;7,10914831142873e-06;8,89688055031002e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"50";2,48014307580888e-05;0,000372830953332596;0,000356470042956062;7,79088836861774e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"51";5,33523666672409e-05;0,000310495380079374;0,000236367955221795;4,07520972657949e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"52";3,14941320102662e-05;1,4693139703013e-05;0,000111180552397855;0,000391835508402437;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"53";0,00047744764899835;3,04693472571671e-07;7,80529894400388e-05;0,000487235128297471;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
"54";0,000429624797659926;0,000293446847237647;2,71066670538858e-05;6,38141881208867e-05;0;NA;NA;0;0;0;0;0;0;0;0;0,0073
